CustomerID,TotalRevenue,TotalOrders,AvgOrderValue,LifespanDays,FirstPurchase,LastPurchase
14646,280206.02,73,3838.4386301369864,353,2010-12-20,2011-12-08
18102,259657.3,60,4327.621666666667,366,2010-12-07,2011-12-09
17450,194550.79,46,4229.365,359,2010-12-07,2011-12-01
16446,168472.5,2,84236.25,204,2011-05-18,2011-12-09
14911,143825.06,201,715.5475621890547,372,2010-12-01,2011-12-08
12415,124914.53,21,5948.310952380953,313,2011-01-06,2011-11-15
14156,117379.63,55,2134.175090909091,361,2010-12-03,2011-11-30
17511,91062.38,31,2937.496129032258,370,2010-12-01,2011-12-07
16029,81024.84,63,1286.1085714285714,335,2010-12-01,2011-11-01
12346,77183.6,1,77183.6,0,2011-01-18,2011-01-18
16684,66653.56,28,2380.4842857142858,353,2010-12-16,2011-12-05
14096,65164.79,17,3833.2229411764706,97,2011-08-30,2011-12-05
13694,65039.62,50,1300.7924,369,2010-12-01,2011-12-06
15311,60767.9,91,667.7791208791209,373,2010-12-01,2011-12-09
13089,58825.83,97,606.4518556701031,366,2010-12-05,2011-12-07
17949,58510.48,45,1300.232888888889,370,2010-12-03,2011-12-08
15769,56252.72,26,2163.566153846154,363,2010-12-03,2011-12-02
15061,54534.14,48,1136.1279166666666,368,2010-12-02,2011-12-06
14298,51527.3,44,1171.075,352,2010-12-14,2011-12-01
14088,50491.81,13,3883.9853846153846,312,2011-01-21,2011-11-29
15749,44534.3,3,14844.766666666668,97,2011-01-11,2011-04-18
12931,42055.96,15,2803.730666666667,336,2010-12-17,2011-11-18
17841,40991.57,124,330.5771774193548,371,2010-12-01,2011-12-08
15098,39916.5,3,13305.5,0,2011-06-10,2011-06-10
13798,37153.85,57,651.8219298245614,370,2010-12-02,2011-12-08
16013,37130.6,47,790.0127659574467,367,2010-12-03,2011-12-06
16422,34684.4,51,680.086274509804,351,2010-12-05,2011-11-22
12748,33719.73,209,161.3384210526316,372,2010-12-01,2011-12-09
15838,33643.08,19,1770.6884210526316,356,2010-12-07,2011-11-28
17404,31906.82,15,2127.1213333333335,356,2010-12-14,2011-12-05
17389,31833.68,34,936.2847058823529,330,2011-01-12,2011-12-09
13098,28882.44,28,1031.5157142857142,316,2011-01-26,2011-12-08
14680,28754.11,16,1797.131875,346,2010-12-03,2011-11-14
13081,28337.38,11,2576.1254545454544,359,2010-12-03,2011-11-28
13408,28117.04,62,453.5006451612903,371,2010-12-01,2011-12-08
17857,26879.04,23,1168.6539130434783,361,2010-12-09,2011-12-05
16333,26626.8,22,1210.3090909090909,302,2011-02-03,2011-12-02
13777,25977.16,33,787.1866666666666,372,2010-12-01,2011-12-09
12753,21429.39,6,3571.565,339,2010-12-12,2011-11-17
12744,21279.29,7,3039.8985714285714,266,2011-01-25,2011-10-19
16210,21086.3,18,1171.461111111111,372,2010-12-01,2011-12-08
17675,20374.28,31,657.2348387096774,366,2010-12-07,2011-12-08
17381,20275.61,29,699.1589655172414,363,2010-12-02,2011-12-01
15039,19914.44,47,423.7114893617021,359,2010-12-06,2011-11-30
12471,19824.05,30,660.8016666666666,362,2010-12-10,2011-12-07
12731,18895.91,12,1574.6591666666666,341,2010-12-10,2011-11-16
15159,18641.010000000002,30,621.3670000000001,359,2010-12-13,2011-12-08
12901,17654.54,28,630.5192857142857,261,2011-03-14,2011-12-01
12678,17628.46,12,1469.0383333333332,311,2010-12-21,2011-10-28
14031,17286.86,19,909.8347368421053,365,2010-12-02,2011-12-02
17428,17256.85,28,616.3160714285714,368,2010-12-06,2011-12-09
13767,17220.36,37,465.41513513513513,371,2010-12-01,2011-12-07
13881,17159.52,20,857.976,308,2011-02-01,2011-12-06
16839,16594.35,34,488.06911764705876,360,2010-12-05,2011-12-01
12921,16587.09,37,448.29972972972973,364,2010-12-01,2011-11-30
14607,16569.5,14,1183.5357142857142,245,2011-03-23,2011-11-24
15856,16387.57,27,606.947037037037,361,2010-12-09,2011-12-05
17677,16363.23,30,545.441,367,2010-12-06,2011-12-08
15189,16225.39,41,395.74121951219513,331,2011-01-11,2011-12-08
14051,15610.390000000001,23,678.7126086956522,365,2010-12-08,2011-12-09
15513,14758.220000000001,19,776.7484210526317,340,2010-12-01,2011-11-06
16133,14589.04,33,442.09212121212124,314,2011-01-25,2011-12-06
14866,14389.9,12,1199.1583333333333,355,2010-12-08,2011-11-29
16705,14034.99,20,701.7495,358,2010-12-16,2011-12-09
12681,13787.54,22,626.7063636363637,353,2010-12-07,2011-11-25
12621,13689.67,20,684.4835,364,2010-12-09,2011-12-08
12540,13400.24,17,788.2494117647059,342,2010-12-13,2011-11-20
12433,13375.87,7,1910.8385714285716,372,2010-12-01,2011-12-09
15498,13316.4,27,493.2,364,2010-12-08,2011-12-07
12477,13219.74,6,2203.29,278,2011-02-11,2011-11-17
17735,13110.02,19,690.001052631579,365,2010-12-07,2011-12-07
16525,13027.45,26,501.0557692307693,364,2010-12-08,2011-12-07
14258,12669.98,9,1407.7755555555555,328,2011-01-06,2011-11-30
13078,12627.94,26,485.69,363,2010-12-08,2011-12-06
12536,12601.830000000002,3,4200.610000000001,15,2011-10-11,2011-10-27
15640,12515.66,15,834.3773333333334,367,2010-12-02,2011-12-05
16000,12393.7,3,4131.233333333334,0,2011-12-07,2011-12-07
17340,12353.29,11,1123.0263636363636,336,2010-12-08,2011-11-10
12682,12288.22,31,396.3941935483871,367,2010-12-03,2011-12-06
13113,12245.960000000001,24,510.2483333333334,365,2010-12-08,2011-12-09
14606,12156.65,93,130.71666666666667,372,2010-12-01,2011-12-08
12557,11990.960000000001,5,2398.192,355,2010-12-03,2011-11-23
12939,11581.8,8,1447.725,270,2011-01-09,2011-10-06
15125,11528.48,15,768.5653333333333,245,2011-03-14,2011-11-14
14194,11349.52,21,540.4533333333334,303,2011-02-04,2011-12-05
12971,11189.91,86,130.11523255813952,368,2010-12-02,2011-12-06
14895,11138.710000000001,20,556.9355,282,2011-02-22,2011-12-02
12409,11072.67,3,3690.89,103,2011-06-10,2011-09-22
15482,11054.96,12,921.2466666666666,343,2010-12-16,2011-11-24
17581,11045.04,25,441.8016,371,2010-12-02,2011-12-09
13319,10845.550000000001,26,417.1365384615385,360,2010-12-09,2011-12-04
17107,10815.43,6,1802.5716666666667,244,2011-03-06,2011-11-06
13340,10736.48,7,1533.782857142857,231,2011-03-08,2011-10-25
14769,10674.75,8,1334.34375,354,2010-12-17,2011-12-07
17139,10668.47,12,889.0391666666666,273,2011-02-24,2011-11-24
16779,10629.720000000001,22,483.169090909091,364,2010-12-08,2011-12-07
17865,10526.32,20,526.316,333,2010-12-10,2011-11-09
17706,10504.49,17,617.9111764705882,362,2010-12-08,2011-12-05
15251,10484.99,11,953.180909090909,232,2011-04-12,2011-11-30
14062,10464.85,12,872.0708333333333,354,2010-12-10,2011-11-30
15615,10399.74,23,452.1626086956522,348,2010-12-15,2011-11-29
15502,10384.93,12,865.4108333333334,353,2010-12-05,2011-11-24
16180,10254.18,8,1281.7725,152,2011-04-01,2011-08-31
16843,10196.57,16,637.285625,284,2011-01-16,2011-10-28
12590,9864.26,2,4932.13,0,2011-05-12,2011-05-12
13001,9818.82,13,755.2938461538462,322,2011-01-17,2011-12-05
13199,9817.12,38,258.34526315789475,363,2010-12-08,2011-12-06
15078,9743.11,32,304.4721875,361,2010-12-06,2011-12-02
12709,9736.52,15,649.1013333333334,351,2010-12-08,2011-11-24
13458,9646.57,14,689.0407142857142,352,2010-12-15,2011-12-02
14733,9585.91,12,798.8258333333333,351,2010-12-07,2011-11-23
16523,9418.470000000001,21,448.4985714285715,313,2011-01-28,2011-12-08
12567,9401.28,10,940.128,346,2010-12-05,2011-11-17
14367,9261.52,16,578.845,267,2011-03-08,2011-12-01
14667,9241.2,25,369.648,357,2010-12-06,2011-11-29
18092,9068.26,11,824.3872727272727,363,2010-12-09,2011-12-07
13969,9053.94,18,502.99666666666667,357,2010-12-09,2011-12-02
12451,9035.52,5,1807.104,313,2011-01-19,2011-11-29
13488,8968.31,13,689.87,350,2010-12-07,2011-11-22
13090,8910.82,14,636.4871428571429,364,2010-12-02,2011-12-01
16033,8816.4,20,440.82,364,2010-12-05,2011-12-04
17017,8694.26,20,434.713,369,2010-12-02,2011-12-07
17243,8676.85,26,333.725,368,2010-12-05,2011-12-08
17306,8631.31,19,454.2794736842105,342,2010-12-21,2011-11-29
16656,8625.8,15,575.0533333333333,342,2010-12-10,2011-11-17
14527,8508.82,55,154.7058181818182,366,2010-12-05,2011-12-07
12683,8476.57,15,565.1046666666666,361,2010-12-09,2011-12-05
18139,8438.34,6,1406.39,0,2011-11-21,2011-11-22
15358,8347.2,22,379.41818181818184,360,2010-12-09,2011-12-05
16558,8338.49,20,416.92449999999997,365,2010-12-08,2011-12-09
14056,8214.65,23,357.1586956521739,282,2011-02-28,2011-12-08
14936,8137.02,8,1017.1275,241,2011-03-09,2011-11-06
16672,8134.9400000000005,20,406.747,264,2011-03-18,2011-12-07
13854,8109.5199999999995,25,324.38079999999997,356,2010-12-09,2011-12-01
14952,8099.49,11,736.3172727272727,304,2010-12-10,2011-10-11
18109,8052.97,26,309.7296153846154,368,2010-12-05,2011-12-08
